"source","job_id","title","company","location","job_url","modality","seniority","is_remote","salary","post_date","tags","description_snippet","fetched_at"
"LinkedIn","4435103558","Junior AI Implementation Specialist (NAM Portugal)","Nordea Asset Management Portugal","Oeiras, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/junior-ai-implementation-specialist-nam-portugal-at-nordea-asset-management-portugal-4435103558","On-site / Hybrid","Junior / Trainee / Internship",False,"","5 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4408285352","AI Engineer","BOI (Board of Innovation)","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-boi-board-of-innovation-4408285352","On-site / Hybrid","Entry-Level / Early Career",False,"","9 hours ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4435120400","Machine Learning Platform Engineer I","Mollie","Lisbon Metropolitan Area","https://pt.linkedin.com/jobs/view/machine-learning-platform-engineer-i-at-mollie-4435120400","On-site / Hybrid","Entry-Level / Early Career",False,"","5 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4448315707","AI Engineer","Affinity","Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-affinity-4448315707","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4448551061","AI Engineer","ITSector","Aveiro, Aveiro, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-itsector-4448551061","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4450831618","GENAI / AGENTIC AI ENGINEER – MID (HYBRID)","iTRTech Group","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/genai-agentic-ai-engineer-%E2%80%93-mid-hybrid-at-itrtech-group-4450831618","Hybrid","Entry-Level / Early Career",False,"","4 days ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4429923023","GenAI Engineer","Affinity","Portugal","https://pt.linkedin.com/jobs/view/genai-engineer-at-affinity-4429923023","On-site / Hybrid","Entry-Level / Early Career",False,"","4 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4451200373","AI Solution Engineer – LLMs, RAG & Azure AI","Decskill","Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-solution-engineer-%E2%80%93-llms-rag-azure-ai-at-decskill-4451200373","On-site / Hybrid","Entry-Level / Early Career",False,"","16 hours ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4436078023","GenAI Platform Engineer","Accenture Portugal","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/genai-platform-engineer-at-accenture-portugal-4436078023","On-site / Hybrid","Entry-Level / Early Career",False,"","3 weeks ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4435159553","Data Scientist - Marketing Analytics","BNP Paribas Personal Finance","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-marketing-analytics-at-bnp-paribas-personal-finance-4435159553","On-site / Hybrid","Entry-Level / Early Career",False,"","5 days ago","[]","","2026-08-18 00:03:33"
